,number,value,params_k_1_init,params_k_2_init,params_kt_1_init,params_kt_2_init,state
73,73,5574434642627.083,46250460.59597716,76382998.10823138,99898777.7329623,69812587.65014891,COMPLETE
74,74,1381349487630927.0,47283642.161870345,77209797.12473615,4804785.99459399,44912154.70913902,COMPLETE
75,75,998324463815188.4,61803230.623935446,75863225.85091099,5223199.256895802,69334393.94329824,COMPLETE
76,76,3204450801745.0913,45135791.61175507,75342246.59338562,3791820.3776004547,69858160.7676323,COMPLETE
77,77,5574434642627.083,60015978.89687422,92494107.6901524,99188386.42732586,52799916.57120744,COMPLETE
78,78,5574434642627.083,61791066.06873751,99854551.46538046,14368300.167933878,37404356.65816131,COMPLETE
79,79,152953924491848.5,83650123.6904387,92289281.78440246,232381.7885509804,83426170.2273946,COMPLETE
80,80,5574434642627.083,85964886.79324278,99564995.85648888,16088834.747528043,78517583.71711472,COMPLETE
81,81,4021815857647.7026,83255296.19035925,81173747.87977533,559135.5007166323,61251866.32951149,COMPLETE
82,82,5298155693469.9795,34578716.06411479,92222744.44683504,19323.926246139512,85286535.77719283,COMPLETE
83,83,5574434642627.083,65987967.29706679,92104277.22130716,10397215.5876689,83597371.77431081,COMPLETE
84,84,5574434642627.083,34561536.18258634,60729456.67443555,10500296.092154063,61625245.19322689,COMPLETE
85,85,5574434642627.083,45002814.96365498,69343733.8695877,10877692.381286608,83672234.5138827,COMPLETE
86,86,5574434642627.083,35980426.70635809,69900850.37948766,10659885.082073273,61753886.34543838,COMPLETE
87,87,341506068212778.2,48861447.10381576,70426861.62842391,5280193.838276256,51797718.01431995,COMPLETE
88,88,4776270408459.662,50322254.775165066,79609573.81055208,3654261.4416012745,52225992.70888701,COMPLETE
89,89,4253379404246.337,49632428.05156944,79996119.18026178,3617975.5520200105,51922638.32538911,COMPLETE
90,90,478727382269557.94,44239322.602252096,79857877.84884343,5795481.895512468,52801616.27692092,COMPLETE
91,91,3429071366632.209,43413270.16539365,74114813.06366062,4443182.84152076,40727090.62405692,COMPLETE
92,92,5574434642627.083,50676947.40899296,79835260.97967823,23403306.742464006,45195122.98790965,COMPLETE
93,93,8764524825808.724,11887180.406587206,74826583.49427645,2935236.049140444,45949976.9452542,COMPLETE
94,94,1003750156100428.4,70079010.09335464,63721755.67088866,3573390.0618953593,77819581.2434168,COMPLETE
95,95,5534796644488196.0,12660339.881664537,63760463.10522506,3217003.6538542835,78269799.13153565,COMPLETE
96,96,1514845425972150.2,11987331.44824747,88989398.6990267,3568407.170642119,77686709.26733607,COMPLETE
97,97,4448819738780392.5,68369900.71613596,89223493.70324087,3437136.8328033388,77104563.31559558,COMPLETE
98,98,49202731409400.29,63850986.39440969,72679411.88322645,2516776.9058289705,56311468.11532415,COMPLETE
99,99,10123346498949.598,58163010.38435634,64186556.000825524,2930837.167430573,56228618.899802595,COMPLETE
100,100,5574434642627.083,58553943.61755616,73096396.1035393,90944005.24631362,26798003.579638064,COMPLETE
101,101,39883601809430.516,63150456.01577613,12150501.899779454,8542350.074234191,55672394.39550921,COMPLETE
102,102,5574434642627.083,42420341.31052075,73327458.22097121,15686844.106186971,39620116.3532926,COMPLETE
